"holdout","single","external","external_extended"
28824.9999999986,31640.5470300323,31393.8413408873,30871.6825674664
25534.9999999991,27761.7856858421,27367.5193668693,28034.8227250706
26358.9999999989,26961.8878677383,28188.7672930017,26291.8024532823
24764.9999999989,26086.2840586916,25819.4042815703,26183.1419381924
25095.9999999997,26194.9308509518,26259.7999068922,25962.8641937089
25180.9999999989,25841.2629340998,26876.0976947866,26322.1360714336
27257.0000000011,26463.4719319004,26537.775171019,26238.7250228081
29174.9999999995,29441.0364733175,29975.7065627407,29712.7133327503
35041.9999999998,35467.5895948668,33045.4072583975,32513.1599616858
41515.0000000008,36923.5922700554,37898.1913622896,37874.8371670793
42037.9999999988,38489.6341679922,42475.0210333773,43309.3406856493
42083.0000000009,44230.1673600192,44510.2051546056,44459.1606211442
41955.0000000002,42718.6275202006,42600.6899487969,43073.5145996591
39771.0000000014,40488.3572289997,40809.3600946959,41302.409690679
41524.9999999993,40572.2129498693,41534.9203905974,41838.908258555
41503.9999999985,40464.5021190159,43709.2163766606,43291.2085457871
41959.9999999995,42369.5793061936,43657.9129600377,43231.2510393012
44201.0000000014,47019.988470399,45813.3438709944,45578.8393686455
45662.0000000011,43709.5815875777,45475.2197494014,45446.5224812249
54420.9999999977,51625.2366478024,50293.5658655376,49353.7584948134
56887.999999999,59128.2760707505,57460.726798516,56975.3024267734
66224.999999999,59073.2152389662,60790.6146926805,61332.2119003414
70418.0000000002,69110.2362324322,68589.7734322413,69986.7423964897
87183.0000000018,83098.7861951799,81477.335629567,76099.503778927
114092.999999995,101418.739272823,100326.289969498,99634.749633908
171641.000000004,147625.439375671,145248.296404289,139993.361042591
215253.999999998,202949.208424606,211300.440652204,201849.628464616
187671.999999995,223587.167569401,208669.323407922,209660.189822323
146886.000000003,151121.351267577,153983.574708645,160324.013115938
114422.000000006,146750.56793516,150800.952495999,148283.472863201
109743,124340.892695398,122011.792954763,115626.761554987
103329,124221.21036083,122538.650927991,115141.36532987
110461.999999999,102575.084675125,106757.559722906,105409.508350852
117144.999999998,100767.372676079,103608.936058207,104753.586829352
111263.000000001,100706.684938126,104449.199710823,106759.314799951
