"ilitotal","age_0_4","age_5_24","age_25_64","age_65","age_25_49","age_50_64"
207968.473565542,32465.0907077371,70313.3947179312,80348.5531881377,22515.1570640308,Inf,Inf
173225.017291657,27104.7487964321,55230.7206337473,68720.2099797299,20713.0310517604,Inf,Inf
141003.710049314,22869.9540228727,41089.6643353805,58500.623137656,18861.0637210833,Inf,Inf
116858.922575015,18528.082913627,33951.4971766581,48730.3365571077,16123.764763191,Inf,Inf
101169.001116712,16812.1060603889,31265.1965740987,40028.0060273331,13336.2512426627,Inf,Inf
90443.8579178701,15170.4277303917,28121.372399701,35990.0802869911,11492.1845734017,Inf,Inf
76347.0403543447,13247.5943100582,24231.7749867955,29580.563007131,9652.99607055891,Inf,Inf
67383.5404196143,12339.4095020544,22514.5436913459,25249.3976947993,7277.40989224018,Inf,Inf
62499.5601276007,11305.3226791402,20796.5963064254,24095.206160386,6565.68562976504,Inf,Inf
55538.3994491301,11058.3717902119,17997.769984001,20901.7482964369,5975.9282368643,Inf,Inf
52446.3858047725,10930.0657161568,16442.5615141902,19227.5306957664,5579.79486796069,Inf,Inf
51495.9351303002,10552.0064632534,15360.0012626934,19688.6626292401,5627.06124590873,Inf,Inf
47530.4412218634,10173.6494521407,14486.2411744708,17663.5868765107,5341.04568979261,Inf,Inf
44269.9614337059,9586.37682496097,13734.6052485679,16129.9989269936,5099.6585992367,Inf,Inf
41179.2556421888,8930.66268647411,12511.6708587518,15262.1227847837,4467.33495646713,Inf,Inf
43235.2652518097,9232.47842859104,13073.8683834189,15989.0541018221,4777.84882427979,Inf,Inf
39321.8784182909,8835.95826605514,10860.6937638666,14823.1567555288,4624.21284899248,Inf,Inf
37309.4582433437,7827.08783505478,9628.75219861074,14953.1011377628,4755.03174082487,Inf,Inf
32847.4885240226,7059.29715877921,7967.11783142924,13746.1010261835,4309.55967949331,Inf,Inf
29710.4316788365,6170.01576657372,7162.16006986412,12401.1243264034,4080.94065080031,Inf,Inf
27709.405381614,5744.30601566368,6663.39927237869,11651.5460876598,3858.49559025395,Inf,Inf
24644.8193830186,4929.68199371317,5983.55667455868,10513.1227251091,3593.58560655704,Inf,Inf
26052.172919382,5000.87914220565,6377.92873350274,11162.6529454426,3616.99014435407,Inf,Inf
24900.0621708049,4680.22937295596,6031.82078441565,10502.1905859784,3536.50267119297,Inf,Inf
25649.4854108989,4666.58628719597,6371.56112893371,11332.3873256448,3309.94115285554,Inf,Inf
27408.3800669327,4898.81551834684,7121.72259596488,11401.5972279481,3714.87793206989,Inf,Inf
29732.8295931046,5214.37385227205,7756.82743592675,12915.5331676475,3662.74398660583,Inf,Inf
31124.2565204207,5234.28012399515,8746.53330110678,13237.3798830851,3907.10620844013,Inf,Inf
38893.7333818891,6612.27788559844,12280.2799514688,15280.8449290221,4451.69647385068,Inf,Inf
48296.9682557335,8260.53764733807,15529.3322018343,19101.994203152,5236.37400181338,Inf,Inf
53650.5642569297,9577.63193927208,16451.3433368362,21290.9454743269,6106.1432365993,Inf,Inf
45206.2402507716,8040.50447221042,14272.8751286745,17987.5759726829,5145.022847468,Inf,Inf
45972.870783662,8582.64806661493,14561.4267220746,17813.9131062468,5699.63923095176,Inf,Inf
41788.8238003712,8074.50055453469,12983.02881055,16396.6388379967,5128.70778307622,Inf,Inf
42901.211643573,8971.88151847318,13508.3662355571,15966.2386785744,4843.9693893959,Inf,Inf
43286.942055328,9193.93117345678,13626.8900122928,15938.4866070911,4826.68142620878,Inf,Inf
44401.2322444195,9740.48574103579,13855.0709749374,16040.0347750994,4968.83185561941,Inf,Inf
45173.4385379987,9940.16930581917,13692.3794120218,16869.6932181895,5076.40488672738,Inf,Inf
49319.8946301996,10735.1591270142,15766.39472222,17770.0272489923,5244.6027226151,Inf,Inf
57771.4803013006,11966.1416030835,20259.0790581697,19943.8867607313,5505.37926191805,Inf,Inf
63175.9292174654,12655.1333747774,21744.1384700468,22264.072514531,6564.55994105612,Inf,Inf
